SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_55-SP,5,2,0,-3,UNDER_PREF,SP,MATH_AUTONOMY,4.81818181818182,5,10358.7727272727,2,20,0.909090909090909
session_55-SP,5,2,0,-3,UNDER_PREF,SP,MATH_BOREDOM,0,0,8631.36,1,24,0.96
session_55-SP,5,2,0,-3,UNDER_PREF,SP,MATH_FLOW,5.42105263157895,5,12534.7368421053,5,14,0.736842105263158
session_55-SP,5,2,0,-3,UNDER_PREF,SP,MATH_OVERLOAD,15.8,16,28001.7,10,0,0
session_56-MP,4,9,8,5,OVER_PREF,MP,MATH_AUTONOMY,10,10,24068.4166666667,1,11,0.916666666666667
session_56-MP,4,9,8,5,OVER_PREF,MP,MATH_BOREDOM,0,0,10226,0,22,1
session_56-MP,4,9,8,5,OVER_PREF,MP,MATH_FLOW,5.75,6,15860,2,14,0.875
session_56-MP,4,9,8,5,OVER_PREF,MP,MATH_OVERLOAD,14.9,15,28006.6,9,1,0.1
session_57-MP,4,6,8,2,OVER_PREF,MP,MATH_AUTONOMY,7.5,7.5,19496.8571428571,2,12,0.857142857142857
session_57-MP,4,6,8,2,OVER_PREF,MP,MATH_BOREDOM,0,0,10919.2857142857,0,21,1
session_57-MP,4,6,8,2,OVER_PREF,MP,MATH_FLOW,6,6,17790.3333333333,1,14,0.933333333333333
session_57-MP,4,6,8,2,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,28004,10,0,0
session_58-MP,4,9,6,5,OVER_PREF,MP,MATH_AUTONOMY,10.3076923076923,10,20484.6923076923,3,10,0.769230769230769
session_58-MP,4,9,6,5,OVER_PREF,MP,MATH_BOREDOM,0,0,9929.60869565217,0,23,1
session_58-MP,4,9,6,5,OVER_PREF,MP,MATH_FLOW,6,6,17040.5333333333,0,15,1
